id,2010_Total_auto,2010_Total_carpool,2010_Total_transit,2010_Total_walked,2010_Total_bike,2010_Total_telecommute
010100,885,259,977,100,0,162
010201,1468,410,1043,149,40,110
010202,357,25,562,124,14,54
010300,1168,264,1218,48,134,151
010400,716,204,765,83,93,159
010501,918,32,1065,37,44,246
010502,591,178,1173,178,0,122
010503,332,71,391,126,41,8
010600,1289,241,1699,369,92,254
010701,1091,237,658,65,49,162
010702,1281,380,808,261,161,86
020100,1124,203,374,25,2,45
020200,1730,158,243,76,73,226
020301,1244,140,210,24,18,95
020302,1264,416,274,25,14,89
020400,1323,244,373,89,31,90
020500,1240,231,578,321,75,152
020601,1374,242,462,204,76,101
020602,878,277,319,182,117,171
020701,682,82,74,4,0,30
020702,1782,521,663,219,12,25
020801,1711,490,412,39,46,57
020802,1631,428,650,215,0,13
020901,1395,128,425,333,154,183
020902,1133,219,330,72,68,19
030101,577,73,973,74,152,116
030102,607,73,927,18,18,0
030103,171,149,574,33,19,0
030104,314,77,410,11,7,94
030200,1292,255,1199,123,125,223
030300,682,111,503,94,112,47
030400,672,60,406,49,67,66
030500,1470,377,1494,248,148,221
030601,687,76,914,52,122,48
030603,197,170,605,172,57,14
030604,617,163,831,34,98,146
030701,202,30,595,61,8,72
030702,394,94,239,36,0,39
030703,411,49,669,91,36,136
030706,797,82,771,41,25,86
030800,1050,214,839,219,113,222
030900,912,198,477,240,52,206
031000,1087,194,829,60,146,148
031100,794,484,1012,142,126,241
031200,750,140,1135,155,153,115
031300,1231,74,1417,294,123,159
031400,1483,142,1517,112,122,245
031501,464,132,786,156,11,42
031502,698,36,1309,200,201,83
031700,1300,204,1717,194,257,404
031800,518,82,502,1,3,58
031900,803,34,612,53,45,54
032100,1224,106,2003,105,227,387
040100,1232,77,525,50,36,137
040201,1678,191,1140,207,87,132
040202,2176,409,601,109,158,139
040300,682,116,220,23,0,78
040401,855,100,660,28,25,79
040402,1400,273,1052,67,149,116
040600,668,79,743,123,32,156
040700,886,102,939,68,16,148
040800,329,71,353,50,37,79
040900,581,132,447,38,91,89
050100,613,53,772,11,33,76
050200,1294,265,728,26,101,211
050300,819,115,306,119,60,118
050500,1784,327,626,85,93,188
050600,519,50,674,50,43,110
050700,429,36,382,33,15,154
050800,375,30,215,21,26,142
050900,527,84,210,29,11,46
051000,532,117,224,99,28,74
051100,522,58,332,74,24,49
051200,478,33,314,73,122,128
051300,1155,138,249,0,26,201
051400,871,94,216,107,72,80
060100,722,134,550,49,27,175
060200,578,49,544,91,31,45
060300,962,83,792,35,123,184
060400,1069,325,1044,34,36,151
060500,199,36,289,21,0,97
060800,1193,154,1740,128,168,87
060900,1254,144,2656,226,219,155
061000,300,73,720,49,8,93
061100,353,103,365,14,15,65
061200,512,68,837,34,56,117
061500,461,108,702,72,80,74
061800,112,80,413,99,0,66
061901,765,170,1393,240,81,159
061902,827,16,1276,262,98,179
062000,641,125,1142,78,79,112
062100,652,189,1335,114,14,136
062200,1092,171,820,143,24,168
062300,339,105,487,61,0,88
062400,566,82,434,85,33,102
062500,434,68,315,26,0,90
062600,831,99,364,10,11,112
062700,765,164,638,13,3,190
062800,843,146,1075,140,80,194
062900,1102,106,1506,195,110,349
063000,750,142,1178,329,100,69
063100,342,59,1138,86,85,111
063200,950,196,2194,248,231,160
063301,531,22,997,239,14,47
063302,614,185,1763,93,81,195
063303,102,0,293,30,31,46
063400,350,109,716,48,7,92
070101,671,132,877,209,245,185
070102,368,41,1058,194,184,27
070103,424,110,682,137,24,76
070200,743,65,1441,202,140,158
070300,678,85,1169,257,48,80
070400,703,108,784,44,48,46
070500,778,174,587,43,78,104
070600,1026,93,517,54,124,72
070700,1196,54,468,49,33,218
071000,609,65,606,260,40,69
071100,413,92,791,83,92,107
071200,525,20,442,108,79,113
071300,790,137,955,89,129,236
071400,789,280,1414,178,105,228
071500,1188,156,1808,187,310,160
071600,434,76,507,0,47,167
071700,497,46,450,11,48,53
071800,571,132,416,65,57,125
080100,1121,151,1028,640,415,341
080201,522,78,809,265,109,185
080202,698,85,946,473,238,227
080300,783,93,1438,322,82,378
080400,470,50,822,352,34,90
081000,848,21,1462,1200,263,159
081100,626,141,575,670,247,143
081201,540,39,591,757,236,218
081202,563,133,456,469,147,16
081300,761,97,682,898,327,132
081401,376,83,133,384,102,59
081402,780,57,338,782,97,197
081403,1529,62,560,1835,199,306
081500,603,33,486,1230,130,289
081600,402,22,298,1100,181,129
081700,535,0,442,970,133,154
081800,1741,119,662,1967,594,195
081900,214,24,83,175,20,43
090100,1162,167,111,82,0,111
090200,2628,141,492,162,45,124
090300,532,10,47,48,0,18
100100,2033,369,332,88,0,183
100200,2716,377,417,25,0,142
100300,1661,58,268,18,0,78
100400,1225,52,105,0,0,59
100500,2338,191,323,0,21,31
100600,1602,178,184,30,15,25
100700,1710,270,133,50,50,28
110100,2173,161,300,54,0,51
110200,763,210,132,66,0,41
110300,1730,180,275,42,34,83
110400,1662,203,243,0,18,102
110501,1416,294,430,15,23,27
110502,1133,202,342,84,25,51
120100,1337,150,237,35,0,111
120200,1232,182,300,63,9,86
120300,2091,362,445,87,15,112
120400,1474,245,233,132,53,41
130100,1525,283,132,78,26,124
130200,686,24,101,26,0,35
130300,1391,333,275,42,88,117
140100,657,359,556,68,36,71
140200,1198,280,1684,253,52,29
140301,826,52,586,58,19,0
140302,1170,121,446,58,39,137
140400,1951,305,548,24,0,224
140500,1153,357,440,79,67,24
140601,715,166,298,85,16,139
140602,896,442,1064,134,24,35
140701,635,122,693,12,16,59
140702,1459,389,893,123,0,125
140800,1734,377,1484,135,105,227
150200,1972,607,855,42,135,272
150300,2122,335,622,117,0,147
150401,1612,202,250,71,57,49
150402,1159,252,359,13,0,28
150501,1407,92,242,112,38,26
150502,1392,340,393,48,46,51
150600,1098,231,402,46,12,35
150700,1364,187,369,25,0,58
150800,1562,292,466,87,45,52
151001,894,178,109,20,0,45
151002,1444,500,503,80,40,43
151100,1472,397,269,59,41,56
151200,1167,326,159,30,104,38
160100,859,70,172,21,32,14
160200,1068,313,261,78,19,109
160300,810,131,669,102,150,120
160400,1370,307,701,175,50,102
160501,1080,322,444,101,0,96
160502,1521,235,411,64,46,94
160601,968,290,475,39,50,57
160602,1564,153,290,151,51,69
160700,1860,213,628,7,56,270
160800,1799,235,606,72,58,146
160900,762,150,281,18,79,48
161000,553,49,249,36,23,43
161100,463,109,282,95,30,126
161200,664,172,304,0,15,87
161300,876,216,548,40,65,47
170100,652,57,37,62,0,0
170200,1299,317,259,107,14,0
170300,1914,434,183,43,22,30
170400,1309,199,152,12,18,12
170500,2117,263,293,28,16,37
170600,893,126,157,11,27,7
170700,1145,84,189,45,0,18
170800,1391,212,112,13,49,16
170900,617,75,120,0,18,3
171000,2969,302,224,114,111,16
171100,1834,240,159,0,10,58
180100,1784,324,230,0,41,11
190100,671,342,182,17,39,32
190200,1601,288,456,28,31,19
190300,1633,294,455,59,14,45
190401,1102,196,326,42,22,22
190402,1441,253,241,0,12,19
190601,1198,332,229,38,89,0
190602,1176,416,142,98,0,24
190701,700,321,73,14,0,59
190702,1282,314,307,44,56,0
190800,1621,535,501,63,37,14
190900,750,74,58,42,5,102
191000,626,158,125,47,11,48
191100,1589,781,406,79,7,82
191200,915,338,150,44,11,7
191301,1578,254,500,99,30,0
191302,969,378,227,76,26,16
200100,1158,216,343,64,0,81
200200,1396,535,478,58,39,16
200300,547,119,236,44,11,0
200401,964,292,336,14,36,68
200402,1080,259,309,89,25,0
210100,1290,217,493,80,116,94
210400,922,281,288,66,6,36
210501,1116,303,574,63,74,67
210502,1291,350,580,0,30,186
210601,859,128,708,67,43,32
210602,991,362,635,143,74,51
210700,1361,336,524,217,59,92
210800,338,13,153,13,33,75
210900,1084,142,174,34,99,68
220300,940,48,431,28,33,98
220400,712,111,382,27,85,62
220500,642,84,786,57,68,109
220601,237,48,344,11,28,43
220602,1062,207,1278,42,55,121
220701,849,105,390,71,47,86
220702,1090,181,708,55,99,28
220901,811,136,406,18,0,58
220902,1149,40,184,54,81,11
221000,680,175,201,80,57,94
221100,986,196,806,143,132,144
221200,677,88,449,60,62,70
221300,476,126,586,161,50,81
221400,708,120,661,123,95,70
221500,735,204,477,95,108,81
221600,801,242,532,86,129,161
222200,615,149,423,27,44,88
222500,387,67,269,45,20,9
222600,402,56,288,33,92,51
222700,536,40,180,34,43,45
222800,216,0,96,15,0,9
222900,379,36,45,35,58,0
230100,362,28,127,4,143,8
230200,370,107,118,44,22,9
230300,171,84,89,42,40,25
230400,436,98,245,108,79,33
230500,618,152,194,44,77,54
230600,1291,379,559,72,115,39
230700,1110,262,441,17,50,91
230800,239,17,58,15,30,4
230900,967,184,550,79,134,73
231100,158,0,118,0,68,10
231200,921,19,420,34,77,0
231500,447,122,434,110,35,95
240200,554,41,333,4,77,72
240300,305,22,432,7,34,72
240500,867,112,548,59,41,69
240600,394,44,261,11,25,38
240700,495,86,180,26,4,20
240800,333,39,162,59,73,31
240900,237,19,61,27,22,22
241000,474,75,293,86,33,42
241100,1005,83,602,177,62,204
241200,379,31,456,201,52,146
241300,522,69,376,76,69,107
241400,1175,297,1059,132,93,204
241500,801,89,803,125,120,165
241600,909,89,1120,123,254,129
242000,1102,67,992,135,84,90
242100,943,181,917,40,116,207
242200,1291,72,829,144,162,184
242300,1084,79,835,237,307,88
242400,798,145,605,120,136,200
242500,1106,121,567,201,87,71
242600,1567,256,535,65,150,170
242700,306,52,240,44,31,12
242800,526,53,151,38,63,46
242900,479,50,518,122,129,55
243000,865,66,374,64,62,28
243100,726,45,475,81,136,83
243200,563,180,518,118,28,139
243300,598,90,419,116,126,122
243400,980,106,582,190,85,129
243500,935,27,649,316,99,135
250200,576,145,240,29,29,21
250300,1369,120,326,0,55,40
250400,1638,189,437,32,62,129
250500,2480,459,566,31,0,111
250600,1184,94,365,0,43,39
250700,1146,49,495,7,0,33
250800,570,16,352,60,31,16
251000,217,20,88,22,0,12
251100,824,176,348,18,20,0
251200,727,69,294,17,69,41
251300,765,95,482,56,9,127
251400,669,107,540,0,67,143
251500,605,87,298,32,0,115
251600,609,82,238,20,0,13
251700,165,0,90,17,23,10
251800,596,93,368,54,38,25
251900,888,96,573,68,22,29
252000,893,140,653,114,0,24
252101,332,6,175,0,10,0
252102,901,102,802,31,0,0
252201,273,59,286,27,103,31
252202,854,93,350,0,27,0
260100,178,0,117,0,27,0
260200,41,0,231,20,0,0
260300,213,0,111,0,40,3
260400,93,67,157,7,0,17
260500,208,23,124,0,37,0
260600,414,41,192,0,54,33
260700,206,4,289,61,28,14
260800,286,0,256,10,12,25
260900,320,6,67,0,0,18
261000,423,53,162,12,68,25
270500,145,0,56,16,0,37
271200,278,14,126,23,0,0
271300,63,4,135,18,13,13
271400,213,17,135,2,9,13
271500,280,5,111,0,0,0
271800,95,0,76,0,20,0
280100,1086,242,824,1729,258,354
280400,152,0,73,28,0,46
280800,48,41,52,3,0,6
280900,41,5,95,0,0,0
281900,900,44,762,991,13,120
282700,687,73,416,72,62,42
282800,429,80,228,130,3,71
283100,455,98,319,305,39,27
283200,273,16,231,68,19,23
283800,860,202,480,0,58,15
290900,441,91,483,0,23,20
291200,222,29,238,0,24,4
291600,260,57,58,24,57,0
292200,481,48,305,44,50,12
292400,235,51,49,60,22,29
